date,Close,High,Low,Open,Volume,aVWAP_QQEMOD_bear_dot_c0_150,aVWAP_QQEMOD_bear_dot_c0_184,aVWAP_QQEMOD_bear_dot_c0_226,aVWAP_QQEMOD_bear_dot_c0_280,aVWAP_QQEMOD_bear_dot_c0_302,aVWAP_QQEMOD_bear_dot_c0_342,aVWAP_QQEMOD_bear_dot_c0_384,aVWAP_QQEMOD_bear_dot_c0_393,aVWAP_QQEMOD_bear_dot_c0_449,aVWAP_QQEMOD_bear_dot_c0_508,aVWAP_QQEMOD_bear_dot_c0_527,aVWAP_QQEMOD_bear_dot_c0_543,aVWAP_QQEMOD_bear_dot_c0_589,aVWAP_QQEMOD_bear_dot_c0_729,aVWAP_QQEMOD_bear_dot_c0_754,aVWAP_QQEMOD_bear_dot_c0_785,aVWAP_QQEMOD_bear_dot_c0_812,aVWAP_QQEMOD_bear_dot_c0_858,aVWAP_QQEMOD_bear_dot_c0_916,aVWAP_QQEMOD_bear_dot_c0_955,aVWAP_QQEMOD_bear_dot_c0_980,aVWAP_QQEMOD_bear_dot_c0_1030,aVWAP_QQEMOD_bear_dot_c0_1071,aVWAP_QQEMOD_bear_dot_c0_1106,aVWAP_QQEMOD_bear_dot_c0_1124,aVWAP_QQEMOD_bear_dot_c0_1168,aVWAP_QQEMOD_bear_dot_c0_1194,aVWAP_QQEMOD_bear_dot_c0_1219,aVWAP_QQEMOD_bear_dot_c0_1243,color,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL
2021-06-21 00:00:00+00:00,140.92,141.33,138.5909,140.85,171935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,False,False,False,False,False
2021-06-22 00:00:00+00:00,139.99,141.42,138.89,141.42,145248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,,False,False,False,True,False
2021-06-23 00:00:00+00:00,138.77,141.0,135.646,135.646,117976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,-50.0,False,False,False,True,True
2021-06-24 00:00:00+00:00,142.9,143.75,138.21,138.21,200292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",22.915090403019153,-28.994500463899108,False,False,False,True,True
2021-06-25 00:00:00+00:00,140.35,143.03,140.0,142.99,181804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",30.898146720560568,-22.949759417431654,False,False,False,True,True
2021-06-28 00:00:00+00:00,136.91,142.18,136.21,141.04,64476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",31.208841915913347,-22.949759417431654,False,False,False,True,True
2021-06-29 00:00:00+00:00,134.27,136.9827,132.84,136.91,89825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",29.154932448529248,-22.949759417431654,False,False,False,True,True
2021-06-30 00:00:00+00:00,131.55,134.985,130.59,134.24,195696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",26.161490836910133,-17.105378487439168,False,False,False,True,False
2021-07-01 00:00:00+00:00,134.5,134.77,131.01,132.29,132338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",29.177976216934567,-17.105378487439168,False,False,False,True,False
2021-07-02 00:00:00+00:00,133.84,135.35,131.9,135.35,71914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",30.668979797037018,-17.105378487439168,False,False,False,True,True
2021-07-06 00:00:00+00:00,132.06,134.16,131.19,134.16,81045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",30.359958787296456,-17.105378487439168,False,False,False,True,True
2021-07-07 00:00:00+00:00,126.68,134.5,125.68,133.39,131367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",27.391794442753103,-17.105378487439168,False,False,False,True,True
2021-07-08 00:00:00+00:00,124.72,128.0999,122.69,125.63,93700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",24.69470480357704,-17.5669793591739,False,False,False,True,False
