date,Close,High,Low,Open,Volume,aVWAP_QQEMOD_bear_dot_c0_63,aVWAP_QQEMOD_bear_dot_c0_113,aVWAP_QQEMOD_bear_dot_c0_150,aVWAP_QQEMOD_bear_dot_c0_224,aVWAP_QQEMOD_bear_dot_c0_250,aVWAP_QQEMOD_bear_dot_c0_330,aVWAP_QQEMOD_bear_dot_c0_379,aVWAP_QQEMOD_bear_dot_c0_453,aVWAP_QQEMOD_bear_dot_c0_472,aVWAP_QQEMOD_bear_dot_c0_504,aVWAP_QQEMOD_bear_dot_c0_531,aVWAP_QQEMOD_bear_dot_c0_597,aVWAP_QQEMOD_bear_dot_c0_646,aVWAP_QQEMOD_bear_dot_c0_677,aVWAP_QQEMOD_bear_dot_c0_721,aVWAP_QQEMOD_bear_dot_c0_746,aVWAP_QQEMOD_bear_dot_c0_861,aVWAP_QQEMOD_bear_dot_c0_896,aVWAP_QQEMOD_bear_dot_c0_953,aVWAP_QQEMOD_bear_dot_c0_1082,aVWAP_QQEMOD_bear_dot_c0_1111,aVWAP_QQEMOD_bear_dot_c0_1197,aVWAP_QQEMOD_bear_dot_c0_1231,aVWAP_QQEMOD_bear_dot_c0_1253,color,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL
2021-06-21 00:00:00+00:00,114.7499642348,116.9730162505,111.9728787167,112.2495989819,39035,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,False,False,False,False,False
2021-06-22 00:00:00+00:00,114.6116041022,116.7852417849,112.4274905809,112.4274905809,86518,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,,False,False,False,True,False
2021-06-23 00:00:00+00:00,116.1928627602,117.2799780875,114.8290271677,115.2638732986,84260,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",30.877192982045052,-111.75438596409012,False,False,False,True,True
2021-06-24 00:00:00+00:00,115.5900078968,117.2997438207,115.3429362315,116.4498172921,26074,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",42.82302232757357,-98.23094298218521,False,False,False,True,True
2021-06-25 00:00:00+00:00,114.7598471014,117.5369326194,113.6134345744,116.578294558,46233,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",44.16755269778751,-93.37361497006776,False,False,False,True,True
2021-06-28 00:00:00+00:00,113.3861286423,114.7647885347,111.8543831461,114.7647885347,36012,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",39.57527956956675,-93.37361497006776,False,False,False,True,True
2021-06-29 00:00:00+00:00,112.5658507135,113.8314131984,112.3285577475,113.7424283362,51325,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",34.614015919175515,-93.37361497006776,False,False,False,True,True
2021-06-30 00:00:00+00:00,110.7169430206,112.6746099895,110.094048985,111.8440846088,82433,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",28.69421969382765,-93.37361497006776,False,False,False,True,True
2021-07-01 00:00:00+00:00,111.1816417455,111.5079195737,110.5389732962,110.9937848142,32436,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",26.983483109074033,-90.4432633223762,False,False,False,True,True
2021-07-02 00:00:00+00:00,112.1308136093,112.4175426098,110.4697628478,112.2197984715,23720,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",29.75254209831199,-82.23940491995111,False,False,False,True,True
2021-07-06 00:00:00+00:00,110.5488605031,112.1308136093,109.5502526048,112.1308136093,68066,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",29.01593110528298,-77.54123537495639,False,False,False,True,True
