date,Close,High,Low,Open,Volume,aVWAP_peak_504,aVWAP_valley_503,SMA_50
2022-01-03 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,
2022-01-04 00:00:00+00:00,47.0,47.0,47.0,47.0,41164,,,
2022-01-05 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,
2022-01-06 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,
2022-01-07 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,
2022-01-10 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,
2022-01-11 00:00:00+00:00,47.0,47.0,47.0,47.0,41164,,,
2022-01-12 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,
2022-01-13 00:00:00+00:00,48.25,48.25,47.25,47.25,6533,,,
2022-01-14 00:00:00+00:00,48.0,48.0,48.0,48.0,4500,,,
2022-01-18 00:00:00+00:00,48.0,48.0,48.0,48.0,0,,,
2022-01-19 00:00:00+00:00,48.0,48.0,48.0,48.0,0,,,
2022-01-20 00:00:00+00:00,49.5,50.0,47.0,47.0,1225330,,,
2022-01-21 00:00:00+00:00,49.5,49.5,49.5,49.5,10000,,,
2022-01-24 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,
2022-01-25 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,
2022-01-26 00:00:00+00:00,49.5,49.5,49.5,49.5,2000,,,
2022-01-27 00:00:00+00:00,49.5,49.5,49.5,49.5,54,,,
2022-01-28 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,
2022-01-31 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,
2022-02-01 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,
2022-02-02 00:00:00+00:00,47.55,49.0,47.55,49.0,1779185,,,
2022-02-03 00:00:00+00:00,49.25,49.25,48.5,48.5,44065,,,
2022-02-04 00:00:00+00:00,46.55,46.55,46.55,46.55,1295,,,
2022-02-07 00:00:00+00:00,46.7,46.7,46.7,46.7,967,,,
2022-02-08 00:00:00+00:00,48.5,48.5,48.25,48.25,123290,,,
2022-02-09 00:00:00+00:00,49.0,49.0,48.5,48.5,80800,,,
2022-02-10 00:00:00+00:00,48.5,49.0,48.45,49.0,106880,,,
2022-02-11 00:00:00+00:00,47.5,47.5,47.0,47.0,1300,,,
2022-02-14 00:00:00+00:00,47.5,47.5,47.5,47.5,0,,,
2022-02-15 00:00:00+00:00,49.0,49.0,48.5,48.75,890700,,,
2022-02-16 00:00:00+00:00,50.8,50.8,50.8,50.8,100,,,
2022-02-17 00:00:00+00:00,50.8,50.8,50.8,50.8,0,,,
2022-02-18 00:00:00+00:00,50.8,50.8,50.8,50.8,0,,,
2022-02-22 00:00:00+00:00,50.8,50.8,50.8,50.8,0,,,
2022-02-23 00:00:00+00:00,50.8,50.8,50.8,50.8,0,,,
2022-02-24 00:00:00+00:00,50.0,50.05,49.5,49.5,312390,,,
2022-02-25 00:00:00+00:00,50.5,50.5,50.0,50.0,520000,,,
2022-02-28 00:00:00+00:00,50.05,50.5,50.0,50.0,101000,,,
2022-03-01 00:00:00+00:00,50.75,50.75,50.0,50.39,816417,,,
2022-03-02 00:00:00+00:00,50.3,51.0,50.25,50.89,53373,,,
2022-03-03 00:00:00+00:00,51.7,51.7,51.7,51.7,2399,,,
2022-03-04 00:00:00+00:00,53.75,53.75,53.0,53.0,52000,,,
2022-03-07 00:00:00+00:00,55.4,55.4,54.2,54.2,1020,,,
2022-03-08 00:00:00+00:00,55.4,55.4,55.4,55.4,0,,,
2022-03-09 00:00:00+00:00,54.5,54.5,54.0,54.0,212368,,,
2022-03-10 00:00:00+00:00,54.8,54.8,54.7,54.7,37503,,,
2022-03-11 00:00:00+00:00,55.25,55.25,55.15,55.15,55366,,,
2022-03-14 00:00:00+00:00,55.25,55.25,55.25,55.25,50000,,,
2022-03-15 00:00:00+00:00,55.25,55.25,55.25,55.25,0,,,49.81399999999999
2022-03-16 00:00:00+00:00,55.25,55.25,55.25,55.25,0,,,49.979
2022-03-17 00:00:00+00:00,55.25,55.25,55.25,55.25,0,,,50.144
2022-03-18 00:00:00+00:00,55.25,55.25,55.25,55.25,0,,,50.309
2022-03-21 00:00:00+00:00,55.0,55.0,54.5,54.5,200000,,,50.468999999999994
2022-03-22 00:00:00+00:00,55.0,55.0,55.0,55.0,0,,,50.629
2022-03-23 00:00:00+00:00,55.0,55.0,55.0,55.0,0,,,50.788999999999994
2022-03-24 00:00:00+00:00,54.1,54.25,53.75,54.25,4557,,,50.931000000000004
2022-03-25 00:00:00+00:00,54.1,54.1,54.1,54.1,0,,,51.073
2022-03-28 00:00:00+00:00,54.1,54.1,54.1,54.1,50000,,,51.19
2022-03-29 00:00:00+00:00,57.75,59.45,54.0,56.5,218896,,,51.385
2022-03-30 00:00:00+00:00,58.0,58.25,57.75,57.75,505164,,,51.585
2022-03-31 00:00:00+00:00,60.6,60.6,58.25,58.25,425700,,,51.836999999999996
2022-04-01 00:00:00+00:00,61.375,61.5,61.375,61.5,61658,,,52.0745
2022-04-04 00:00:00+00:00,61.5,61.5,61.5,61.5,228,,,52.314499999999995
2022-04-05 00:00:00+00:00,61.52,61.52,61.5,61.5,50804,,,52.554899999999996
2022-04-06 00:00:00+00:00,62.5,62.5,61.5,61.5,1190,,,52.814899999999994
