date,Close,High,Low,Open,Volume,aVWAP_peak_891,aVWAP_valley_818,SMA_50
2022-01-03 00:00:00+00:00,12.63,12.96,12.41,12.75,2641099,,,
2022-01-04 00:00:00+00:00,12.57,12.68,12.035,12.61,4320533,,,
2022-01-05 00:00:00+00:00,12.01,12.71,11.96,12.45,4720263,,,
2022-01-06 00:00:00+00:00,11.89,12.24,11.51,11.9,4035204,,,
2022-01-07 00:00:00+00:00,11.65,12.24,11.65,11.82,4206236,,,
2022-01-10 00:00:00+00:00,11.12,11.54,10.85,11.49,6666787,,,
2022-01-11 00:00:00+00:00,11.31,11.5,11.04,11.16,5344431,,,
2022-01-12 00:00:00+00:00,11.23,11.74,11.21,11.43,3783608,,,
2022-01-13 00:00:00+00:00,11.06,11.65,11.02,11.45,3942803,,,
2022-01-14 00:00:00+00:00,10.98,11.14,10.685,10.91,4528683,,,
2022-01-18 00:00:00+00:00,10.67,11.11,10.6425,10.7,4654734,,,
2022-01-19 00:00:00+00:00,10.45,10.92,10.385,10.61,4573018,,,
2022-01-20 00:00:00+00:00,10.48,11.07,10.45,10.55,4085148,,,
2022-01-21 00:00:00+00:00,9.85,10.355,9.77,10.22,6220694,,,
2022-01-24 00:00:00+00:00,9.8,9.81,8.78,9.25,9113249,,,
2022-01-25 00:00:00+00:00,9.5,9.77,9.225,9.5,4243726,,,
2022-01-26 00:00:00+00:00,9.49,10.22,9.425,10.1,5946427,,,
2022-01-27 00:00:00+00:00,8.94,9.71,8.87,9.59,6144076,,,
2022-01-28 00:00:00+00:00,9.2,9.22,8.57,8.885,5893452,,,
2022-01-31 00:00:00+00:00,10.4,10.47,9.21,9.22,6750352,,,
2022-02-01 00:00:00+00:00,10.69,10.8399,10.14,10.51,6699395,,,
2022-02-02 00:00:00+00:00,10.06,10.83,9.96,10.81,6717504,,,
2022-02-03 00:00:00+00:00,9.5,10.07,9.44,9.73,5258342,,,
2022-02-04 00:00:00+00:00,9.73,9.9,9.4,9.445,4074933,,,
2022-02-07 00:00:00+00:00,9.28,9.8,9.23,9.26,7449014,,,
2022-02-08 00:00:00+00:00,9.38,9.42,9.1091,9.21,4014433,,,
2022-02-09 00:00:00+00:00,9.86,9.95,9.555,9.68,4057271,,,
2022-02-10 00:00:00+00:00,9.53,10.08,9.46,9.58,4077324,,,
2022-02-11 00:00:00+00:00,9.27,9.795,9.15,9.59,3496582,,,
2022-02-14 00:00:00+00:00,9.28,9.6,9.03,9.08,4989204,,,
2022-02-15 00:00:00+00:00,10.27,10.28,9.44,9.55,4583513,,,
2022-02-16 00:00:00+00:00,10.45,10.495,10.0,10.16,3206916,,,
2022-02-17 00:00:00+00:00,9.96,10.375,9.865,10.23,3192306,,,
2022-02-18 00:00:00+00:00,9.62,10.035,9.505,9.95,2715261,,,
2022-02-22 00:00:00+00:00,9.07,9.6277,8.965,9.38,4602775,,,
2022-02-23 00:00:00+00:00,8.86,9.495,8.825,9.29,3253384,,,
2022-02-24 00:00:00+00:00,9.58,9.6,8.31,8.432,5566456,,,
2022-02-25 00:00:00+00:00,9.79,9.8,9.29,9.75,3876275,,,
2022-02-28 00:00:00+00:00,11.42,11.495,10.3,10.53,12442892,,,
2022-03-01 00:00:00+00:00,11.02,11.47,10.8099,11.4,7165108,,,
2022-03-02 00:00:00+00:00,10.96,11.16,10.68,11.12,4415057,,,
2022-03-03 00:00:00+00:00,10.33,11.06,10.25,11.02,4350938,,,
2022-03-04 00:00:00+00:00,9.74,10.515,9.65,10.19,4081975,,,
2022-03-07 00:00:00+00:00,10.18,10.52,9.82,9.88,6152751,,,
2022-03-08 00:00:00+00:00,11.56,11.85,10.24,10.565,11442743,,,
2022-03-09 00:00:00+00:00,11.65,11.9582,11.12,11.84,7548373,,,
2022-03-10 00:00:00+00:00,11.56,11.81,11.105,11.54,4406155,,,
2022-03-11 00:00:00+00:00,10.98,11.89,10.945,11.79,5738502,,,
2022-03-14 00:00:00+00:00,10.11,11.0,10.05,10.95,6290688,,,
2022-03-15 00:00:00+00:00,10.28,10.28,9.435,10.01,5414503,,,10.384
2022-03-16 00:00:00+00:00,11.0,11.0,10.23,10.51,5348499,,,10.351400000000002
2022-03-17 00:00:00+00:00,11.53,11.53,10.85,10.88,5375946,,,10.330599999999999
2022-03-18 00:00:00+00:00,11.75,11.945,11.34,11.4,5124593,,,10.3254
2022-03-21 00:00:00+00:00,11.46,11.9,11.175,11.78,3876743,,,10.3168
2022-03-22 00:00:00+00:00,11.81,12.09,11.35,11.48,4110458,,,10.32
2022-03-23 00:00:00+00:00,12.14,12.5,11.7,11.99,6976519,,,10.340399999999999
2022-03-24 00:00:00+00:00,12.27,12.28,11.75,12.15,5009888,,,10.3596
2022-03-25 00:00:00+00:00,11.79,12.3,11.52,12.3,9096805,,,10.3708
2022-03-28 00:00:00+00:00,11.62,12.1,11.34,11.79,3631347,,,10.382
2022-03-29 00:00:00+00:00,12.27,12.34,11.67,11.74,3611047,,,10.4078
2022-03-30 00:00:00+00:00,11.87,12.415,11.78,12.16,3418328,,,10.4318
2022-03-31 00:00:00+00:00,11.64,12.13,11.64,11.85,2659434,,,10.455599999999999
2022-04-01 00:00:00+00:00,11.56,11.97,11.4,11.92,2561372,,,10.4772
2022-04-04 00:00:00+00:00,12.4,12.57,11.59,11.59,4349937,,,10.5282
2022-04-05 00:00:00+00:00,11.94,12.52,11.87,12.5,4113878,,,10.571
2022-04-06 00:00:00+00:00,11.16,11.86,10.93,11.72,4088250,,,10.6042
2022-04-07 00:00:00+00:00,11.1,11.345,10.79,11.15,3017444,,,10.636400000000002
2022-04-08 00:00:00+00:00,10.68,11.16,10.66,11.025,2056470,,,10.671199999999999
2022-04-11 00:00:00+00:00,10.77,10.94,10.385,10.5,2994969,,,10.7026
2022-04-12 00:00:00+00:00,10.38,11.08,10.32,10.8,3460791,,,10.7022
2022-04-13 00:00:00+00:00,10.5,10.605,10.275,10.35,2261850,,,10.6984
2022-04-14 00:00:00+00:00,10.15,10.57,10.14,10.52,2168048,,,10.7002
2022-04-18 00:00:00+00:00,9.9,10.13,9.78,10.12,2201460,,,10.708200000000001
2022-04-19 00:00:00+00:00,10.37,10.535,9.88,10.05,3007928,,,10.721000000000002
2022-04-20 00:00:00+00:00,9.96,10.48,9.96,10.47,3023170,,,10.7346
2022-04-21 00:00:00+00:00,9.2,10.24,9.1001,10.12,3834377,,,10.731000000000002
2022-04-22 00:00:00+00:00,8.84,9.41,8.755,9.25,6114929,,,10.710600000000001
