date,Close,High,Low,Open,Volume,aVWAP_peak_908,aVWAP_valley_901
2022-01-03 00:00:00+00:00,40.0894185976,40.2047948982,39.9586587902,40.0355763239,516312,,
2022-01-04 00:00:00+00:00,39.874049503,40.2278701583,39.8586659963,40.1740278847,911160,,
2022-01-05 00:00:00+00:00,39.8048237226,40.1932572681,39.6356051484,39.8894330098,1078111,,
2022-01-06 00:00:00+00:00,39.9048165165,40.0778809675,39.750981449,39.8971247632,910907,,
2022-01-07 00:00:00+00:00,40.1124938577,40.1240314878,39.7548273257,39.874049503,964860,,
2022-01-10 00:00:00+00:00,39.8971247632,40.0586515841,39.7432896956,40.0586515841,719837,,
2022-01-11 00:00:00+00:00,40.1355691178,40.1684898223,39.7048309287,39.9278917767,639960,,
2022-01-12 00:00:00+00:00,40.404780486,40.404780486,40.1894113915,40.2355619117,1157878,,
2022-01-13 00:00:00+00:00,40.6816836075,40.8662856886,40.5432320468,40.5816908136,985116,,
2022-01-14 00:00:00+00:00,40.712450621,40.8201351683,40.5509238001,40.6663001008,879674,,
2022-01-18 00:00:00+00:00,40.9432032223,41.0278125095,40.6201495805,41.0047372493,978184,,
2022-01-19 00:00:00+00:00,40.7662928947,41.0816547831,40.650916594,41.0739630297,1012916,,
2022-01-20 00:00:00+00:00,40.3893969792,40.9739702358,40.3817052259,40.7662928947,932537,,
2022-01-21 00:00:00+00:00,39.9663505435,40.3186328482,39.9038935061,40.2509454185,1962234,,
2022-01-24 00:00:00+00:00,39.5356123545,39.6740639152,38.9435011796,39.5125370943,1733414,,
2022-01-25 00:00:00+00:00,39.8202072294,40.0624974607,39.0664153985,39.281784493,1375766,,
2022-01-26 00:00:00+00:00,39.6048381349,40.3201711989,39.4663865741,40.0432680773,1851042,,
2022-01-27 00:00:00+00:00,39.5817628747,40.0817268442,39.5356123545,39.7125226821,1550314,,
2022-01-28 00:00:00+00:00,40.0201928172,40.0432680773,39.3740855336,39.4510030673,970155,,
2022-01-31 00:00:00+00:00,40.1971031448,40.3317088289,39.8894330098,39.8894330098,1152253,,
2022-02-01 00:00:00+00:00,40.1509526246,40.1971031448,39.9163541466,40.1740278847,1499840,,
2022-02-02 00:00:00+00:00,40.5816908136,40.6278413339,40.2278701583,40.2278701583,1275472,,
2022-02-03 00:00:00+00:00,40.8970527021,41.0418884182,40.4278557461,40.4509310062,1446749,,
2022-02-04 00:00:00+00:00,40.9508949757,41.1278053034,40.6124578272,40.7432176346,1098739,,
2022-02-07 00:00:00+00:00,40.7047588677,41.1854934537,40.650916594,41.1854934537,1445452,,
2022-02-08 00:00:00+00:00,40.343246459,40.7586011413,40.3201711989,40.7586011413,1222834,,
2022-02-09 00:00:00+00:00,40.5509238001,40.5663842244,40.404780486,40.4970815265,1426492,,
2022-02-10 00:00:00+00:00,40.1817196381,40.6432248407,40.1201856111,40.3970887326,819234,,
2022-02-11 00:00:00+00:00,40.2278701583,40.5124650333,40.0971103509,40.1432608712,925576,,
2022-02-14 00:00:00+00:00,40.1509526246,40.2278701583,39.7432896956,40.0971103509,2081484,,
2022-02-15 00:00:00+00:00,40.220178405,40.3690138328,40.1278773644,40.3240170755,1049147,,
2022-02-16 00:00:00+00:00,40.3278629522,40.4586227596,40.1240314878,40.220178405,1187962,,
