date,Close,High,Low,Open,Volume
2021-06-21 00:00:00+00:00,128.9711071997,129.0783394128,125.9588568501,127.021430598,79663316
2021-06-22 00:00:00+00:00,130.6088355451,130.7063193752,128.3082171551,128.8053846885,74783618
2021-06-23 00:00:00+00:00,130.3358808208,130.9402805674,129.8777068194,130.4041195019,60214200
2021-06-24 00:00:00+00:00,130.0531777136,131.2522288236,129.5852553292,131.0670095465,68710998
2021-06-25 00:00:00+00:00,129.7607262233,130.521100098,129.4682747331,130.1019196286,70783746
2021-06-28 00:00:00+00:00,131.3887061857,131.8420059956,129.9946874155,130.0531777136,62111303
2021-06-29 00:00:00+00:00,132.899705552,133.0556796802,130.9695257164,131.4082029518,64556081
2021-06-30 00:00:00+00:00,133.5138536815,133.9525309169,132.4512799336,132.7437314239,63261393
2021-07-01 00:00:00+00:00,133.8160535548,133.8745438528,132.3440477205,133.1629118932,52485781
2021-07-02 00:00:00+00:00,136.438368584,136.4773621161,134.2791017477,134.4302016843,78945572
2021-07-06 00:00:00+00:00,138.4465354837,139.5481027637,136.5456007971,136.5456007971,108181793
2021-07-07 00:00:00+00:00,140.9323731508,141.2443214071,139.0704319963,139.9234155095,104911589
2021-07-08 00:00:00+00:00,139.6358382107,140.4352056174,137.1256295861,138.0176066314,105575458
2021-07-09 00:00:00+00:00,141.4587858333,141.9851985157,139.0628282575,139.1581674433,99890800
2021-07-12 00:00:00+00:00,140.8641344698,142.6383401773,140.3767153194,142.5311079642,76299719
2021-07-13 00:00:00+00:00,141.9754501327,143.7496558402,140.0160251481,140.4059604684,100827099
2021-07-14 00:00:00+00:00,145.3971325686,145.806564655,143.9641202664,144.3735523528,127050785
2021-07-15 00:00:00+00:00,144.7439909071,146.2257451244,143.3889656689,145.4848680157,106820297
2021-07-16 00:00:00+00:00,142.7065788584,145.9917839322,142.2094113249,144.7244941411,93251426
2021-07-19 00:00:00+00:00,138.8657159531,140.4449540004,138.1053420784,140.1330057442,121434571
2021-07-20 00:00:00+00:00,142.4726176662,143.3984216005,139.3628834865,139.8503026369,96350036
2021-07-21 00:00:00+00:00,141.7414889405,142.4531209001,140.9908634489,141.8682179196,74993460
2021-07-22 00:00:00+00:00,143.1062625617,144.4661619914,142.1411726439,142.2630274315,77338156
