date,Close,High,Low,Open,Volume
2026-05-28 00:00:00+00:00,24.173217199,25.8917803771,23.2257158338,23.8747577638,4649
2026-05-29 00:00:00+00:00,29.1020416155,29.1020416155,24.1243892754,24.1243892754,3434
2026-06-01 00:00:00+00:00,29.848939098,31.7331577472,29.4065920596,31.7331577472,5674
2026-06-02 00:00:00+00:00,26.2630323611,26.8703359023,26.2630323611,26.8703359023,1114
2026-06-03 00:00:00+00:00,25.6331621311,26.6406749117,25.6331621311,26.5408223071,4343
2026-06-04 00:00:00+00:00,25.1332001398,25.4424436563,25.0080848262,25.1229153215,3539
2026-06-05 00:00:00+00:00,23.1470319814,23.4054505221,22.4768212992,22.645572201,6769
2026-06-08 00:00:00+00:00,24.2278365738,24.2278365738,23.9346693266,23.9346693266,1295
2026-06-09 00:00:00+00:00,23.4469892057,23.8547872429,23.4254210431,23.8547872429,534
2026-06-10 00:00:00+00:00,22.1119598819,22.7364380712,22.1119598819,22.6565559875,1230
2026-06-11 00:00:00+00:00,22.9286543351,23.0459811455,22.9286543351,23.0459811455,417
2026-06-12 00:00:00+00:00,22.6221068389,22.7663938526,22.477120857,22.7663938526,795
2026-06-15 00:00:00+00:00,26.434279578,27.8089503857,25.5722520423,25.5722520423,11537
2026-06-16 00:00:00+00:00,26.046352209,26.9701885069,26.046352209,26.9701885069,1162
2026-06-17 00:00:00+00:00,26.3527,26.981,26.3527,26.981,322
