date,Close,High,Low,Open,Volume
2021-06-21 00:00:00+00:00,7.9528069802,8.0276451889,7.7731952792,7.9827422637,1937208
2021-06-22 00:00:00+00:00,7.6534541453,7.9128932689,7.5786159366,7.8630011297,3286685
2021-06-23 00:00:00+00:00,7.1844680373,7.7332815679,7.1645111816,7.7133247123,4205924
2021-06-24 00:00:00+00:00,7.3042091713,7.3241660269,7.0946621868,7.2742738878,2175341
2021-06-25 00:00:00+00:00,7.1744896095,7.4738424444,7.144554326,7.4239503052,1828427
2021-06-28 00:00:00+00:00,7.0447700477,7.2501260924,7.0048563364,7.2343601765,2049907
2021-06-29 00:00:00+00:00,6.8950936302,7.0447700477,6.8751367746,7.0148347642,2099935
2021-06-30 00:00:00+00:00,6.9350073416,7.024813192,6.8152662076,6.8950936302,2339572
2021-07-01 00:00:00+00:00,6.8950936302,7.0148347642,6.795309352,6.9948779085,1546596
2021-07-02 00:00:00+00:00,6.9350073416,7.0647269033,6.8601691328,6.9948779085,2061721
2021-07-06 00:00:00+00:00,6.9050720581,7.1944464651,6.8701475607,7.1245974703,2086685
2021-07-07 00:00:00+00:00,6.8152662076,6.9848994807,6.795309352,6.9549641972,1380811
2021-07-08 00:00:00+00:00,6.6855466458,6.9649426251,6.6456329345,6.9350073416,2356837
2021-07-09 00:00:00+00:00,6.8751367746,6.9449857694,6.7454172128,6.7653740685,1412354
2021-07-12 00:00:00+00:00,6.6955250737,6.9250289137,6.6556113623,6.9250289137,1641072
2021-07-13 00:00:00+00:00,6.735438785,6.9150504859,6.7104927154,6.7753524963,1396394
2021-07-14 00:00:00+00:00,6.8052877798,6.9549641972,6.7154819293,6.8851152024,1576414
2021-07-15 00:00:00+00:00,6.7653740685,6.8252446354,6.6955250737,6.8052877798,1165741
2021-07-16 00:00:00+00:00,6.4360859501,6.7753524963,6.3861938109,6.7254603571,2758771
2021-07-19 00:00:00+00:00,6.1566899709,6.381204597,6.0668841204,6.3562585274,3068610
2021-07-20 00:00:00+00:00,6.2464958213,6.3462800996,6.1766468265,6.1766468265,1344533
2021-07-21 00:00:00+00:00,6.4759996614,6.5159133727,6.20658211,6.2315281796,1233331
2021-07-22 00:00:00+00:00,6.4161290944,6.4660212336,6.2764311048,6.4560428057,1081778
2021-07-23 00:00:00+00:00,6.2365173935,6.4261075223,6.1866252543,6.3462800996,1444860
2021-07-26 00:00:00+00:00,6.6356545067,6.7137855966,6.2564742492,6.3562585274,2304317
2021-07-27 00:00:00+00:00,6.5957407954,6.7154819293,6.4859780892,6.6855466458,1419388
2021-07-28 00:00:00+00:00,6.8551799189,6.8551799189,6.5358702284,6.5358702284,1373023
2021-07-29 00:00:00+00:00,7.0747053312,7.1844680373,6.9579577256,7.0747053312,1649649
2021-07-30 00:00:00+00:00,6.9449857694,7.084683759,6.8551799189,6.9848994807,1022433
2021-08-02 00:00:00+00:00,6.8651583468,6.9749210529,6.8152662076,6.9449857694,837814
2021-08-03 00:00:00+00:00,7.0347916199,7.0347916199,6.8052877798,6.8751367746,968319
2021-08-04 00:00:00+00:00,6.8950936302,7.2642954599,6.8851152024,7.1545327538,1324763
2021-08-05 00:00:00+00:00,6.5458486562,6.8950936302,6.4360859501,6.8751367746,2026581
2021-08-06 00:00:00+00:00,6.3163448161,6.4660212336,6.2864095326,6.4061506666,2760927
2021-08-09 00:00:00+00:00,6.1766468265,6.2864095326,6.1267546874,6.2864095326,2012559
2021-08-10 00:00:00+00:00,6.146711543,6.1966036822,6.0070135534,6.1866252543,2364731
2021-08-11 00:00:00+00:00,6.326323244,6.3462800996,6.1966036822,6.266452677,1181376
2021-08-12 00:00:00+00:00,6.1566899709,6.3762153831,6.0369488369,6.3762153831,1391165
2021-08-13 00:00:00+00:00,6.3961722388,6.4160293101,6.1766468265,6.1966036822,1148313
2021-08-16 00:00:00+00:00,6.3063663883,6.4361857344,6.2614634631,6.4061506666,1040409
2021-08-17 00:00:00+00:00,6.1566899709,6.3063663883,6.1267546874,6.2464958213,1140806
